year,imdb,title,Director,director_gender,Writer,writer_gender,Star,star_gender,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,Director Gender,Director Age
1990,tt0099817,Dark Angel (I Come in Peace),Craig R. Baxley,M,Jonathan Tydor,M,Dolph Lundgren,M,nowomen,nowomen,0,7000000,4372561,4372561,1990FAIL,12480828,7796169,7796169,5,3,,
1998,tt0118929,Dark City,Alex Proyas,M,Alex Proyas,M,Rufus Sewell,M,notalk-disagree,notalk,0,27000000,14435076,27257061,1998FAIL,38586572,20629634,38953947,4,3,,
2005,tt0382628,Dark Water,Walter Salles,M,Kôji Suzuki,M,Jennifer Connelly,F,ok,ok,1,60000000,25473093,49473093,2005PASS,71581988,30390244,59023039,2,2,,
2003,tt0282209,Darkness Falls,Jonathan Liebesman,M,Joe Harris,M,Chaney Kley,M,notalk,notalk,0,7000000,32539681,32539681,2003FAIL,8862609,41198066,41198066,3,2,,
1981,tt0082096,Das Boot,Wolfgang Petersen,M,Wolfgang Petersen,M,J�rgen Prochnow,M,nowomen,nowomen,0,12000000,11487676,84970337,1981FAIL,30742635,29430119,217684336,,,,
2010,tt1279935,Date Night,Shawn Levy,M,Josh Klausner,M,Steve Carell,M,ok,ok,1,55000000,98711404,152269033,2010PASS,58752751,105446665,162658630,1,1,,
2004,tt0363547,Dawn of the Dead,Zack Snyder,M,George A. Romero,M,Sarah Polley,F,ok,ok,1,28000000,58990765,103452875,2004PASS,34529401,72746991,127577349,3,2,,
2009,tt0433362,Daybreakers,Michael Spierig,M,Michael Spierig,M,Ethan Hawke,M,notalk,notalk,0,20000000,30101577,51401577,2009FAIL,21714632,32682233,55808316,2,2,,
1993,tt0106677,Dazed and Confused,Richard Linklater,M,Richard Linklater,M,Jason London,M,ok-disagree,ok,1,6900000,7950889,7950889,1993PASS,11125966,12820482,12820482,5,3,,
1989,tt0097165,Dead Poets Society,Peter Weir,M,Tom Schulman,M,Robin Williams,M,notalk,notalk,0,16400000,95860116,239500000,1989FAIL,30825257,180177604,450161527,,,,
2009,tt1278340,Dead Snow,Tommy Wirkola,M,Tommy Wirkola,M,Jeppe Beck Laursen,M,men-disagree,men,0,800000,46742,2194020,2009FAIL,868585,50749,2382117,2,2,,
2010,tt0989757,Dear John,Lasse Hallström,M,Jamie Linden,F,Channing Tatum,M,nowomen,nowomen,0,25000000,80014842,111362410,2010FAIL,26705796,85474402,118960872,1,1,,
2007,tt0795368,Death at a Funeral,Frank Oz,M,Dean Craig,M,Matthew Macfadyen,M,ok-disagree,ok,1,21000000,42739347,48977233,2007PASS,23594413,48019515,55028051,2,2,,
1992,tt0104070,Death Becomes Her,Robert Zemeckis,M,Martin Donovan,M,Meryl Streep,M,ok,ok,1,55000000,58422650,149022650,1992PASS,91319098,97001885,247429345,5,3,,
2008,tt0452608,Death Race,Paul W.S. Anderson,M,Paul W.S. Anderson,M,Jason Statham,M,notalk,notalk,0,65000000,36316032,72516819,2008FAIL,70346660,39303255,78481785,2,2,,
2002,tt0266452,Death to Smoochy,Danny DeVito,M,Adam Resnick,M,Robin Williams,M,men,men,0,50000000,8355815,8374062,2002FAIL,64758961,10822278,10845911,3,2,,
1998,tt0120647,Deep Impact,Mimi Leder,F,Bruce Joel Rubin,M,Robert Duvall,M,ok,ok,1,80000000,140464664,349464664,1998PASS,114330585,200742590,499431243,4,3,,
2008,tt1034303,Defiance,Edward Zwick,M,Clayton Frohman,M,Daniel Craig,M,ok,ok,1,50000000,28644813,42268745,2008PASS,54112816,31001030,45745616,2,2,,
2008,tt0832266,"Definitely, Maybe",Adam Brooks,M,Adam Brooks,M,Ryan Reynolds,M,ok,ok,1,7000000,32241649,55863786,2008PASS,7575794,34893728,60458935,2,2,,
2010,tt1323594,Despicable Me,Pierre Coffin,M,Cinco Paul,M,Steve Carell,M,ok-disagree,ok,1,69000000,251513985,543495033,2010PASS,73707997,268675247,580578700,1,1,,
2013,tt1690953,Despicable Me 2,Pierre Coffin,M,Cinco Paul,M,Steve Carell,M,ok,ok,1,76000000,368065385,970766005,2013PASS,76000000,368065385,970766005,1,1,,
2010,tt1314655,Devil,John Erick Dowdle,M,Brian Nelson,M,Chris Messina,M,ok-disagree,ok,1,10000000,33679655,63354114,2010PASS,10682318,35977680,67676882,1,1,,
2010,tt1196141,Diary of a Wimpy Kid,Thor Freudenthal,M,Jackie Filgo,F,Zachary Gordon,M,ok,ok,1,15000000,64003625,76954311,2010PASS,16023478,68370710,82205045,1,1,,
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,M,Gabe Sachs,M,Zachary Gordon,M,notalk,notalk,0,18000000,52698535,73695194,2011FAIL,18642434,54579387,76325433,1,1,,
2007,tt0848557,Diary of the Dead,George A. Romero,M,George A. Romero,M,Michelle Morgan,F,ok,ok,1,2750000,952620,5394447,2007PASS,3089745,1070310,6060896,2,2,,
1999,tt0144168,Dick,Andrew Fleming,M,Andrew Fleming,M,Kirsten Dunst,F,ok,ok,1,13000000,6276869,6276869,1999PASS,18180006,8777963,8777963,4,3,,
2002,tt0246460,Die Another Day,Lee Tamahori,M,Ian Fleming,M,Pierce Brosnan,M,men-disagree,men,0,142000000,160942139,431942139,2002FAIL,183915449,208448913,559442481,3,2,,
1988,tt0095016,Die Hard,John McTiernan,M,Roderick Thorp,M,Bruce Willis,M,ok-disagree,ok,1,28000000,81350242,139109346,1988PASS,55150116,160231261,273996307,,,,
1990,tt0099423,Die Hard 2,Renny Harlin,M,Steven E. de Souza,M,Bruce Willis,M,dubious-disagree,dubious,0,70000000,117323878,239814025,1990FAIL,124808278,209185588,427582507,5,3,,
1995,tt0112864,Die Hard: With a Vengeance,John McTiernan,M,Jonathan Hensleigh,M,Bruce Willis,M,notalk,notalk,0,90000000,100012499,364480746,1995FAIL,137590151,152897054,557210677,4,3,,
1982,tt0083833,Diner,Barry Levinson,M,Barry Levinson,M,Steve Guttenberg,M,notalk,notalk,0,5000000,12592907,12592907,1982FAIL,12066340,30390060,30390060,,,,
2010,tt0427152,Dinner for Schmucks,Jay Roach,M,David Guion,M,Steve Carell,M,notalk,notalk,0,69000000,73026337,86796502,2010FAIL,73707997,78009058,92718787,1,1,,
2009,tt1136608,District 9,Neill Blomkamp,M,Neill Blomkamp,M,Sharlto Copley,M,notalk-disagree,notalk,0,30000000,115646235,215196627,2009FAIL,32571948,125560771,233645777,2,2,,
2007,tt0486822,Disturbia,D.J. Caruso,M,Christopher Landon,M,Shia LaBeouf,M,ok-disagree,ok,1,20000000,80209692,117573043,2007PASS,22470870,90119077,132098426,2,2,,
1998,tt0134619,Disturbing Behavior,David Nutter,M,Scott Rosenberg,M,James Marsden,M,notalk,notalk,0,15000000,17507368,17507368,1998FAIL,21436985,25020345,25020345,4,3,,
2012,tt1853728,Django Unchained,Quentin Tarantino,M,Quentin Tarantino,M,Jamie Foxx,F,notalk-disagree,notalk,0,100000000,162805434,425373688,2012FAIL,101463857,165188672,431600549,1,1,,
2006,tt0398913,DOA: Dead or Alive,Corey Yuen,M,J.F. Lawton,M,Jaime Pressly,F,ok,ok,1,30000000,480314,7756224,2006PASS,34673890,555145,8964615,2,2,,
2004,tt0364725,Dodgeball: A True Underdog Story,Rawson Marshall Thurber,M,Rawson Marshall Thurber,M,Ben Stiller,M,ok,ok,1,30000000,114326736,167791704,2004PASS,36995786,140986916,206919534,3,2,,
1999,tt0120655,Dogma,Kevin Smith,M,Kevin Smith,M,Ben Affleck,M,dubious-disagree,dubious,0,10000000,30651422,43948865,1999FAIL,13984620,42864850,61460819,4,3,,
2011,tt1564349,Dolphin Tale,Charles Martin Smith,M,Karen Janszen,M,Morgan Freeman,M,men,men,0,37000000,72286779,96068724,2011FAIL,38320559,74866751,99497492,1,1,,
2005,tt0421054,Domino,Tony Scott,M,Richard Kelly,M,Keira Knightley,F,ok,ok,1,50000000,10169202,22969202,2005PASS,59651656,12132195,27403019,2,2,,
2013,tt2229499,Don Jon,Joseph Gordon-Levitt,M,Joseph Gordon-Levitt,M,Joseph Gordon-Levitt,M,dubious-disagree,dubious,0,5500000,24477704,26377704,2013FAIL,5500000,24477704,26377704,1,1,,
2010,tt1270761,Don&#39;t Be Afraid of the Dark,Troy Nixey,M,Guillermo del Toro,M,Katie Holmes,F,ok,ok,1,25000000,24046682,31551048,2010PASS,26705796,25687431,33703834,1,1,,
2001,tt0260866,Don&#39;t Say A Word,Gary Fleder,M,Andrew Klavan,M,Michael Douglas,M,ok,ok,1,50000000,54997476,104488383,2001PASS,65792298,72368206,137490616,3,2,,
2001,tt0246578,Donnie Darko,Richard Kelly,M,Richard Kelly,M,Jake Gyllenhaal,M,dubious-disagree,dubious,0,4500000,1270522,7696529,2001FAIL,5921307,1671811,10127447,3,2,,
2005,tt0419706,Doom,Andrzej Bartkowiak,M,Dave Callaham,M,Karl Urban,M,notalk,notalk,0,70000000,28212337,54612337,2005FAIL,83512319,33658253,65154327,2,2,,
2008,tt0483607,Doomsday,Neil Marshall,M,Neil Marshall,M,Rhona Mitra,F,ok,ok,1,33000000,11008770,21621188,2008PASS,35714458,11914311,23399667,2,2,,
2008,tt0918927,Doubt,John Patrick Shanley,M,John Patrick Shanley,M,Meryl Streep,F,ok,ok,1,20000000,33446470,50946957,2008PASS,21645126,36197653,55137666,2,2,,
2001,tt0240462,Dr. Dolittle 2,Steve Carr,M,Hugh Lofting,M,Eddie Murphy,M,ok,ok,1,72000000,112950721,176101721,2001PASS,94740909,148625750,231722738,3,2,,
2009,tt1127180,Drag Me to Hell,Sam Raimi,M,Sam Raimi,M,Alison Lohman,F,ok,ok,1,30000000,42100625,91388487,2009PASS,32571948,45709979,99223368,2,2,,
1996,tt0116136,DragonHeart,Rob Cohen,M,Patrick Read Johnson,M,Dennis Quaid,M,men,men,0,57000000,51364680,104364680,1996FAIL,84654401,76285021,154998762,4,3,,
2011,tt1462041,Dream House,Jim Sheridan,M,David Loucka,M,Daniel Craig,M,ok,ok,1,50000000,21302340,39932340,2011PASS,51784539,22062637,41357557,1,1,,
2003,tt0285531,Dreamcatcher,Lawrence Kasdan,M,Stephen King,M,Morgan Freeman,M,nowomen,nowomen,0,68000000,33685268,75685268,2003FAIL,86093913,42648478,95824131,3,2,,
2012,tt1343727,Dredd 3D,Pete Travis,M,John Wagner,M,Karl Urban,M,ok-disagree,ok,1,45000000,13414714,40868994,2012PASS,45658735,13611086,41467257,1,1,,
2011,tt0780504,Drive,Nicolas Winding Refn,M,Hossein Amini,M,Ryan Gosling,M,dubious-disagree,dubious,0,15000000,35060689,78054825,2011FAIL,15535362,36312033,80840663,1,1,,
1999,tt0157503,Drop Dead Gorgeous,Michael Patrick Jann,M,Lona Williams,F,Kirsten Dunst,F,ok,ok,1,10000000,10571408,10571408,1999PASS,13984620,14783713,14783713,4,3,,
2002,tt0303933,Drumline,Charles Stone III,M,Shawn Schepps,M,Nick Cannon,M,notalk,notalk,0,20000000,56398162,56398162,2002FAIL,25903584,73045727,73045727,3,2,,
2000,tt0242423,"Dude, Where&#39;s My Car",Danny Leiner,M,Philip Stark,M,Ashton Kutcher,M,men,men,0,14000000,46729374,73180297,2000FAIL,18940717,63220562,99006237,3,2,,
2010,tt1231583,Due Date,Todd Phillips,M,Alan R. Cohen,M,Robert Downey Jr.,M,notalk,notalk,0,65000000,100539043,211739043,2010FAIL,69435070,107399007,226186388,1,1,,
1994,tt0109686,Dumb &amp; Dumber,Peter Farrelly,M,Peter Farrelly,M,Jim Carrey,M,men,men,0,16000000,127175374,246400000,1994FAIL,25146635,199877046,387258182,5,3,,
2000,tt0142032,Dune,David Lynch,M,Frank Herbert,M,Kyle MacLachlan,M,ok,ok,1,45000000,27447471,27447471,2000PASS,60880877,37133914,37133914,3,2,,
1982,tt0083866,E.T.: The Extra-Terrestrial,Steven Spielberg,M,Melissa Mathison,F,Henry Thomas,M,dubious,dubious,0,10500000,435110554,792965326,1982FAIL,25339314,1050038377,1913637848,,,,
2008,tt1059786,Eagle Eye,D.J. Caruso,M,John Glenn,M,Shia LaBeouf,M,notalk-disagree,notalk,0,80000000,101440743,178066569,2008FAIL,86580505,109784884,192713668,2,2,,
2007,tt0765443,Eastern Promises,David Cronenberg,M,Steven Knight,M,Naomi Watts,F,ok,ok,1,50000000,17181265,55367342,2007PASS,56177174,19303898,62207616,2,2,,
2010,tt1282140,Easy A,Will Gluck,M,Bert V. Royal,M,Emma Stone,F,ok-disagree,ok,1,8000000,58401464,76200721,2010PASS,8545855,62386303,81400037,1,1,,
2008,tt0808244,Easy Virtue,Stephan Elliott,M,Stephan Elliott,M,Jessica Biel,M,ok,ok,1,14000000,2656784,12656784,2008PASS,15151588,2875321,13697884,2,2,,
2010,tt0879870,"Eat, Pray, Love",Ryan Murphy,M,Ryan Murphy,M,Julia Roberts,F,ok-disagree,ok,1,60000000,80574010,205846861,2010PASS,64093910,86071723,219892171,1,1,,
1994,tt0109707,Ed Wood,Tim Burton,M,Rudolph Grey,M,Johnny Depp,M,ok,ok,1,18000000,5828466,5828466,1994PASS,28289965,9160394,9160394,5,3,,
2010,tt1226273,Edge of Darkness,Martin Campbell,M,William Monahan,M,Mel Gibson,M,notalk,notalk,0,60000000,43313890,81208697,2010FAIL,64093910,46269276,86749716,1,1,,
1990,tt0099487,Edward Scissorhands,Tim Burton,M,Tim Burton,M,Johnny Depp,M,ok,ok,1,20000000,53976987,53976987,1990PASS,35659508,96239640,96239640,5,3,,
1992,tt0104815,El Mariachi,Robert Rodriguez,M,Robert Rodriguez,M,Carlos Gallardo,M,nowomen,nowomen,0,7000,2040920,2041928,1992FAIL,11622,3388636,3390310,5,3,,
1999,tt0126886,Election,Alexander Payne,M,Tom Perrotta,M,Matthew Broderick,M,ok,ok,1,8500000,14943582,17202854,1999PASS,11886927,20898032,24057538,4,3,,
1998,tt0127536,Elizabeth,Shekhar Kapur,M,Michael Hirst,M,Cate Blanchett,F,ok,ok,1,25000000,30082699,82150642,1998PASS,35728308,42992157,117404137,4,3,,
2004,tt0327679,Ella Enchanted,Tommy O'Haver,M,Laurie Craig,F,Anne Hathaway,F,ok,ok,1,35000000,22913677,22913677,2004PASS,43161751,28256983,28256983,3,2,,
2013,tt1535108,Elysium,Neill Blomkamp,M,Neill Blomkamp,M,Matt Damon,M,ok-disagree,ok,1,120000000,93050117,286192091,2013PASS,120000000,93050117,286192091,1,1,,
1996,tt0116191,Emma,Douglas McGrath,M,Jane Austen,F,Gwyneth Paltrow,F,ok,ok,1,5900000,22231658,37831658,1996PASS,8762473,33017679,56186252,4,3,,
2007,tt0461770,Enchanted,Kevin Lima,M,Bill Kelly,M,Amy Adams,F,ok,ok,1,85000000,127706877,340384141,2007PASS,95501196,143484229,382436383,2,2,,
2013,tt1731141,Ender&#39;s Game,Gavin Hood,M,Gavin Hood,M,Harrison Ford,M,men,men,0,110000000,61737191,89737191,2013FAIL,110000000,61737191,89737191,1,1,,
1998,tt0120660,Enemy of the State,Tony Scott,M,David Marconi,M,Will Smith,M,notalk,notalk,0,85000000,111549836,250649836,1998FAIL,121476247,159419475,358211780,4,3,,
2009,tt1191111,Enter the Void,Gaspar Noé,M,Gaspar Noé,M,Nathaniel Brown,M,notalk,notalk,0,16000000,337997,337997,2009FAIL,17371706,366974,366974,2,2,,
2013,tt0848537,Epic,Chris Wedge,M,James V. Hart,M,Amanda Seyfried,F,ok-disagree,ok,1,100000000,107518682,268418682,2013PASS,100000000,107518682,268418682,1,1,,
2002,tt0238380,Equilibrium,Kurt Wimmer,M,Kurt Wimmer,M,Christian Bale,M,notalk,notalk,0,20000000,1190018,5345869,2002FAIL,25903584,1541287,6923858,3,2,,
2006,tt0449010,Eragon,Stefen Fangmeier,M,Peter Buchman,M,Ed Speleers,M,notalk,notalk,0,100000000,75030163,249488115,2006FAIL,115579635,86719588,288357452,2,2,,
2000,tt0195685,Erin Brockovich,Steven Soderbergh,M,Susannah Grant,F,Julia Roberts,F,ok,ok,1,50000000,125548685,257805243,2000PASS,67645419,169855868,348786874,3,2,,
1996,tt0116225,Escape from L.A.,John Carpenter,M,John Carpenter,M,Kurt Russell,M,notalk,notalk,0,50000000,25426861,25426861,1996FAIL,74258246,37763082,37763082,4,3,,
1981,tt0082340,Escape from New York,John Carpenter,M,John Carpenter,M,Kurt Russell,M,nowomen-disagree,nowomen,0,6000000,25244700,25244700,1981FAIL,15371317,64674049,64674049,,,,
2013,tt0765446,Escape from Planet Earth,Cal Brunker,M,Bob Barlen,M,Brendan Fraser,M,ok,ok,1,40000000,57012977,66454811,2013PASS,40000000,57012977,66454811,1,1,,
2013,tt1211956,Escape Plan,Mikael Håfström,M,Miles Chapman,M,Sylvester Stallone,M,men,men,0,70000000,25213103,103813103,2013FAIL,70000000,25213103,103813103,1,1,,
2004,tt0338013,Eternal Sunshine of the Spotless Mind,Michel Gondry,M,Charlie Kaufman,M,Jim Carrey,M,men,men,0,20000000,34366518,72993444,2004FAIL,24663858,42380545,90014995,3,2,,
2004,tt0349416,Eulogy,Michael Clancy,M,Michael Clancy,M,Ray Romano,M,ok,ok,1,10000000,70527,70527,2004PASS,12331929,86973,86973,3,2,,
1997,tt0119080,Eve&#39;s Bayou,Kasi Lemmons,F,Kasi Lemmons,F,Samuel L. Jackson,M,ok,ok,1,5000000,14843425,14843425,1997PASS,7256191,21541344,21541344,4,3,,
1997,tt0119081,Event Horizon,Paul W.S. Anderson,M,Philip Eisner,M,Laurence Fishburne,M,ok,ok,1,60000000,26673242,26673242,1997PASS,87074287,38709226,38709226,4,3,,
2009,tt0780511,Everybody&#39;s Fine,Kirk Jones,M,Kirk Jones,M,Robert De Niro,M,men,men,0,20000000,9208876,9208876,2009FAIL,21714632,9998368,9998368,2,2,,
2010,tt1531663,Everything Must Go,Dan Rush,M,Dan Rush,M,Will Ferrell,M,notalk,notalk,0,5000000,2712131,2712131,2010FAIL,5341159,2897185,2897185,1,1,,
2013,tt1288558,Evil Dead,Fede Alvarez,M,Fede Alvarez,M,Jane Levy,F,ok-disagree,ok,1,17000000,54239856,97402049,2013PASS,17000000,54239856,97402049,1,1,,
1987,tt0092991,Evil Dead II,Sam Raimi,M,Sam Raimi,M,Bruce Campbell,M,dubious-disagree,dubious,0,3500000,5923044,5923044,1987FAIL,7176391,12144594,12144594,,,,
2001,tt0251075,Evolution,Ivan Reitman,M,Don Jakoby,M,David Duchovny,M,ok,ok,1,80000000,38311134,98341932,2001PASS,105267677,50411551,129402834,3,2,,
1996,tt0116260,Eye for an Eye,John Schlesinger,M,Erika Holzer,F,Sally Field,F,ok,ok,1,20000000,26792700,26792700,1996PASS,29703299,39791578,39791578,4,3,,
1999,tt0120663,Eyes Wide Shut,Stanley Kubrick,M,Stanley Kubrick,M,Tom Cruise,M,ok,ok,1,65000000,55691208,86257553,1999PASS,90900032,77882040,120627912,4,3,,
2010,tt0977855,Fair Game,Andrew Sipes,M,Paula Gosling,M,William Baldwin,M,ok,ok,1,50000000,11497497,26097497,2010PASS,53411592,12281992,27878177,1,1,,
1980,tt0080716,Fame,Kevin Tancharoen,M,Allison Burnett,M,Kelsey Grammer,F,ok,ok,1,18000000,22455510,77956957,1980PASS,50899822,63498970,220444178,,,,
2005,tt0120667,Fantastic Four,Josh Trank,M,Jeremy Slater,M,Miles Teller,M,notalk-disagree,notalk,0,87500000,154696080,330717080,2005FAIL,104390399,184557548,394556433,2,2,,
2007,tt0486576,Fantastic Four: Rise of the Silver Surfer,Tim Story,M,Don Payne,M,Ioan Gruffudd,M,dubious,dubious,0,120000000,131921738,288215319,2007FAIL,134825218,148219809,323822443,2,2,,
2009,tt0432283,Fantastic Mr. Fox,Wes Anderson,M,Roald Dahl,M,George Clooney,M,notalk,notalk,0,40000000,21002919,46498922,2009FAIL,43429264,22803533,50485349,2,2,,
2002,tt0297884,Far from Heaven,Todd Haynes,M,Todd Haynes,M,Julianne Moore,F,ok,ok,1,13500000,15901849,29027914,2002PASS,17484919,20595744,37596351,3,2,,
1996,tt0116282,Fargo,Joel Coen,M,Ethan Coen,M,William H. Macy,M,ok-disagree,ok,1,7000000,24567751,51204567,1996PASS,10396154,36487162,76047227,4,3,,
2009,tt1013752,Fast &amp; Furious,Justin Lin,M,Chris Morgan,M,Vin Diesel,M,notalk,notalk,0,85000000,155064265,363064265,2009FAIL,92287186,168358172,394190344,2,2,,
2013,tt1905041,Fast and Furious 6,Justin Lin,M,Chris Morgan,M,Vin Diesel,M,ok-disagree,ok,1,160000000,238679850,788128122,2013PASS,160000000,238679850,788128122,1,1,,
2011,tt1596343,Fast Five,Justin Lin,M,Chris Morgan,M,Vin Diesel,M,ok-disagree,ok,1,125000000,209837675,629841284,2011PASS,129461348,217326947,652320815,1,1,,
1982,tt0083929,Fast Times at Ridgemont High,Amy Heckerling,F,Cameron Crowe,M,Sean Penn,M,men,men,0,4500000,27092880,27092880,1982FAIL,10859706,65382380,65382380,,,,
2010,tt1433108,Faster,George Tillman Jr.,M,Tony Gayton,M,Dwayne Johnson,M,nowomen,nowomen,0,12000000,23240020,35658648,2010FAIL,12818782,24825729,38091703,1,1,,
1987,tt0093010,Fatal Attraction,Adrian Lyne,M,James Dearden,M,Michael Douglas,M,dubious,dubious,0,14000000,156645693,320100000,1987FAIL,28705563,321185920,656332204,,,,
1998,tt0120669,Fear and Loathing in Las Vegas,Terry Gilliam,M,Hunter S. Thompson,M,Johnny Depp,M,notalk,notalk,0,18500000,10680275,13711903,1998FAIL,26438948,15263526,19596124,4,3,,
1997,tt0119114,Fever Pitch,Richard Brooks,M,Richard Brooks,M,Ryan O'Neal,M,ok,ok,1,40000000,42071069,50071069,1997PASS,58049525,61055139,72665044,4,3,,
1999,tt0137523,Fight Club,David Fincher,M,Chuck Palahniuk,M,Brad Pitt,M,notalk-disagree,notalk,0,65000000,37030102,100853753,1999FAIL,90900032,51785192,141040144,4,3,,
2000,tt0195714,Final Destination,James Wong,M,Glen Morgan,M,Devon Sawa,M,notalk,notalk,0,23000000,53302314,112036870,2000FAIL,31116893,72113147,151575620,3,2,,
2003,tt0309593,Final Destination 2,David R. Ellis,M,J. Mackye Gruber,M,A.J. Cook,M,ok,ok,1,26000000,46896664,90396664,2003PASS,32918261,59375255,114450037,3,2,,
2006,tt0414982,Final Destination 3,James Wong,M,Glen Morgan,M,Mary Elizabeth Winstead,F,ok,ok,1,25000000,54098051,112798051,2006PASS,28894909,62526330,130371575,2,2,,
2011,tt1622979,Final Destination 5,Steven Quale,M,Eric Heisserer,M,Nicholas D'Agosto,M,men,men,0,40000000,42587643,157887643,2011FAIL,41427631,44107629,163522777,1,1,,
2003,tt0266543,Finding Nemo,Andrew Stanton,M,Andrew Stanton,M,Albert Brooks,M,notalk-disagree,notalk,0,94000000,380529370,906465556,2003FAIL,119012174,481783272,1147664217,3,2,,
2004,tt0308644,Finding Neverland,Marc Forster,M,Allan Knee,M,Johnny Depp,M,ok,ok,1,25000000,51676606,115036108,2004PASS,30829822,63727222,141861709,3,2,,
2009,tt1083456,Fired Up!,Will Gluck,M,Will Gluck,M,Eric Christian Olsen,M,notalk,notalk,0,20000000,17231291,18608570,2009FAIL,21714632,18708557,20203912,2,2,,
2008,tt1129423,Fireproof,Alex Kendrick,M,Alex Kendrick,M,Kirk Cameron,M,men,men,0,500000,33456317,33473297,2008FAIL,541128,36208310,36226687,2,2,,
1982,tt0083944,First Blood,Ted Kotcheff,M,David Morrell,M,Sylvester Stallone,M,nowomen,nowomen,0,14000000,47212904,125212904,1982FAIL,33785752,113937390,302172295,,,,
2009,tt1232776,Fish Tank,Andrea Arnold,F,Andrea Arnold,M,Katie Jarvis,F,ok,ok,1,3000000,374675,5922292,2009PASS,3257195,406796,6430020,2,2,,
1983,tt0085549,Flashdance,Adrian Lyne,M,Thomas Hedley Jr.,M,Jennifer Beals,F,ok,ok,1,7000000,90463574,201463574,1983PASS,16375486,211626424,471294841,,,,
1990,tt0099582,Flatliners,Niels Arden Oplev,M,Peter Filardi,M,Elliot Page,M,ok,ok,1,26000000,61308153,61308153,1990PASS,46357360,109310929,109310929,5,3,,
1999,tt0155711,Flawless,Joel Schumacher,M,Joel Schumacher,M,Robert De Niro,M,notalk,notalk,0,27000000,4485485,4485485,1999FAIL,37758475,6272780,6272780,4,3,,
2012,tt1907668,Flight,Robert Zemeckis,M,John Gatins,M,Denzel Washington,M,dubious-disagree,dubious,0,31000000,93772375,161772375,2012FAIL,31453796,95145068,164140491,1,1,,
2004,tt0377062,Flight of the Phoenix,John Moore,M,Lukas Heller,M,Dennis Quaid,M,nowomen,nowomen,0,75000000,21009180,34009180,2004FAIL,92489466,25908371,41939879,3,2,,
2005,tt0408790,Flightplan,Robert Schwentke,M,Peter A. Dowling,M,Jodie Foster,F,ok,ok,1,55000000,89706988,225706988,2005PASS,65616822,107023409,269275914,2,2,,
1997,tt0119137,Flubber,Les Mayfield,M,Samuel W. Taylor,M,Robin Williams,M,men,men,0,80000000,92993801,177993801,1997FAIL,116099050,134956149,258311390,4,3,,
2006,tt0424095,Flushed Away,David Bowers,M,Dick Clement,M,Hugh Jackman,M,nowomen,nowomen,0,149000000,64665672,177665672,2006FAIL,172213656,74740347,205345335,2,2,,
2011,tt1068242,Footloose,Herbert Ross,M,Dean Pitchford,M,Kevin Bacon,M,ok,ok,1,24000000,51802742,63412773,2011PASS,24856579,53651623,65676025,1,1,,
2010,tt1405500,For Colored Girls,Tyler Perry,M,Tyler Perry,M,Janet Jackson,F,ok,ok,1,21000000,37729698,38017873,2010PASS,22432869,40304065,40611902,1,1,,
1999,tt0126916,For Love of the Game,Sam Raimi,M,Michael Shaara,M,Kevin Costner,M,men,men,0,50000000,35188640,46112640,1999FAIL,69923101,49209977,64486776,4,3,,
2006,tt0470765,For Your Consideration,Christopher Guest,M,Christopher Guest,M,Catherine O'Hara,F,ok,ok,1,12000000,5549923,5549923,2006PASS,13869556,6414581,6414581,2,2,,
2008,tt0800039,Forgetting Sarah Marshall,Nicholas Stoller,M,Jason Segel,M,Kristen Bell,F,ok,ok,1,30000000,63172463,105173042,2008PASS,32467689,68368797,113824188,2,2,,
1994,tt0109830,Forrest Gump,Robert Zemeckis,M,Winston Groom,M,Tom Hanks,M,notalk-disagree,notalk,0,55000000,329694499,679400525,1994FAIL,86441558,518169206,1067789822,5,3,,
2008,tt0369436,Four Christmases,Seth Gordon,M,Matt Allen,M,Reese Witherspoon,F,ok,ok,1,80000000,120146040,163546040,2008PASS,86580505,130028810,176998734,2,2,,
2012,tt1142977,Frankenweenie,Tim Burton,M,Leonard Ripps,M,Winona Ryder,F,nowomen-disagree,nowomen,0,39000000,35287788,81150788,2012FAIL,39570904,35804351,82338719,1,1,,
2003,tt0322330,Freaky Friday,Mark Waters,M,Mary Rodgers,F,Jamie Lee Curtis,F,ok,ok,1,26000000,110222438,160822438,2003PASS,32918261,139551191,203615191,3,2,,
1996,tt0116361,Freeway,Matthew Bright,M,Matthew Bright,M,Reese Witherspoon,F,ok,ok,1,3000000,295493,295493,1996PASS,4455495,438856,438856,4,3,,
2002,tt0120679,Frida,Julie Taymor,F,Hayden Herrera,M,Salma Hayek,F,men-disagree,men,0,12000000,25885000,55710675,2002FAIL,15542151,33525714,72155308,3,2,,
2009,tt0758746,Friday the 13th,Sean S. Cunningham,M,Victor Miller,M,Betsy Palmer,F,men,men,0,17000000,65002019,91700771,2009FAIL,18457437,70574746,99562425,2,2,,
1980,tt0080761,Friday the 13th,Marcus Nispel,M,Victor Miller,M,Jared Padalecki,M,men-disagree,men,0,17000000,65002019,91700771,1980FAIL,48072054,183810620,259308493,,,,
